sin_2241_0329430812| kōkaṭat mṁ venadā taram kāle gannætiva æṉda gattā | කෝකටත් මං වෙනදා තරම් කාලෙ ගන්නැතිව ඇඳ ගත්තා |mettananda
sin_2241_0598895166| ænjalīnā jolī kiyannē pasugiya dinavala bohō seyin katā bahaṭa lakvū caritayak | ඇන්ජලීනා ජොලී කියන්නේ පසුගිය දිනවල බොහෝ සෙයින් කතා බහට ලක්වූ චරිතයක් |mettananda
sin_2241_0701577369| ārthika cintanaya hā sāmājīya diyuṇuva æti kaḷa hækivanuyē pudgala ārthika diyuṇuva salasā dīmenya | ආර්ථික චින්තනය හා සාමාජීය දියුණුව ඇති කළ හැකිවනුයේ පුද්ගල ආර්ථික දියුණුව සලසා දීමෙන්ය |mettananda
sin_2241_0715400935| in adahas vannē vicārātmaka vinivida dækīmen tora bælmayi | ඉන් අදහස් වන්නේ විචාරාත්මක විනිවිද දැකීමෙන් තොර බැල්මයි |mettananda
sin_2241_0817100025| apa yuddhayē paḷamu piyavarēdīma parāda vī avasānaya | අප යුද්ධයේ පළමු පියවරේදීම පරාද වී අවසානය |mettananda
sin_2241_0894513578| ituru velā tibuṇē guṇēgē pintūraya vitarayi | ඉතුරු වෙලා තිබුණේ ගුණේගේ පින්තූරය විතරයි |mettananda
sin_2241_0914770956| oyāgē næṭumvalaṭa madhuri ḍiksit paradanavā kiyalā vihiḷu karanavā | ඔයාගේ නැටුම්වලට මධුරි ඩික්සිත් පරදනවා කියලා විහිළු කරනවා |mettananda
sin_2241_0957633175| dehiattakanḍiyē duṣkara pāsalaka śālāvak sǣdīma | දෙහිඅත්තකන්ඩියේ දුෂ්කර පාසලක ශාලාවක් සෑදීම |mettananda
sin_2241_1051256718| aṭavisiyak seneviyō hātpasa rækavallā siṭiyāhuya | අටවිසියක් සෙනෙවියෝ හාත්පස රැකවල්ලා සිටියාහුය |mettananda
sin_2241_1094955559| anatura sidukaḷa polis niladhāriyāda ada ataḍṁguvaṭa gena æta | අනතුර සිදුකළ පොලිස් නිලධාරියාද අද අත්අඩංගුවට ගෙන ඇත |mettananda
sin_2241_1110951919| usāviyakadī vuvat kiyana kāraṇāvak oppu kaḷa yutuya | උසාවියකදී වුවත් කියන කාරණාවක් ඔප්පු කළ යුතුය |mettananda
sin_2241_1158002967| mama adahas karannē mē kaṇḍāyam nævata matuvenavā kiyana ekama nemeyi | මම අදහස් කරන්නේ මේ කණ්ඩායම් නැවත මතුවෙනවා කියන එකම නෙමෙයි |mettananda
sin_2241_1160192708| adhi mānasika balayak tibē yæyi kiyana siyallanṭamaya | අධි මානසික බලයක් තිබේ යැයි කියන සියල්ලන්ටමය |mettananda
sin_2241_1297590493| mema indasāla guhāva pihiṭiyē kumana sthānayakada | මෙම ඉන්දසාල ගුහාව පිහිටියේ කුමන ස්ථානයකද |mettananda
sin_2241_1387637240| mehilā paryēṣakayanṭa vimasannaṭa itiri vū deyak næta | මෙහිලා පර්යේෂකයන්ට විමසන්නට ඉතිරි වූ දෙයක් නැත |mettananda
sin_2241_1477007898| mutu æṭa vikuṇalā mudal læbuṇa | මුතු ඇට විකුණලා මුදල් ලැබුණ |mettananda
sin_2241_1628739974| sarala siṁhalayen gattama pabāvatī yanu ran tal kaṉdaki | සරල සිංහලයෙන් ගත්තම පබාවතී යනු රන් තල් කඳකි |mettananda
sin_2241_1739595290| mē siyalla kataragama pūjābhūmiyaṭa ek vūyē pasu kālīnava ya | මේ සියල්ල කතරගම පූජාභූමියට එක් වූයේ පසු කාලීනව ය |mettananda
sin_2241_1906673954| mema tattvaya daruvan kihipadeneku siṭina pavulaka nam vaḍāt barapataḷaya | මෙම තත්ත්වය දරුවන් කිහිපදෙනෙකු සිටින පවුලක නම් වඩාත් බරපතළය |mettananda
sin_2241_1922158353| ætta vaśayenma ovungē cētanāva agaya kaḷa yuttaki | ඇත්ත වශයෙන්ම ඔවුන්ගේ චේතනාව අගය කළ යුත්තකි |mettananda
sin_2241_2071126924| ragar gæhuvā kiyala kohomada būruvo voli bōl næti venne | රගර් ගැහුවා කියල කොහොමද බූරුවො වොලි බෝල් නැති වෙන්නෙ |mettananda
sin_2241_2169117644| metana idalā mē pāra koṭasa gænat poḍi hædinvīmak dennamko | මෙතන ඉදලා මේ පාර කොටස ගැනත් පොඩි හැදින්වීමක් දෙන්නම්කො |mettananda
sin_2241_2260885335| mūlika sudusukam næti aya tamayi baṉdavā gena tibennē | මූලික සුදුසුකම් නැති අය තමයි බඳවා ගෙන තිබෙන්නේ |mettananda
sin_2241_2274399168| īyē api kilinocciyē siṭa peleyivalaṭa dumriya rægena giyā | ඊයේ අපි කිලිනොච්චියේ සිට පෙලෙයිවලට දුම්රිය රැගෙන ගියා |mettananda
sin_2241_2326423655| umbē daruvāṭa viśēṣa avadhānayak dennaṭa nohækiya | උඹේ දරුවාට විශේෂ අවධානයක් දෙන්නට නොහැකිය |mettananda
